employee_id,name,email,phone_num,designation,hire_date
9a1fd7ec-24b8-4f2c-871e-0a64ad087892,Virginia Hamilton,corey76@example.org,285363935,Developer,2023-11-17
0cc78cb7-acac-4a29-b18a-dc3c3a3728e5,Michael Lee,michael03@example.com,4756308895,Sales,2021-01-20
484156ee-47dd-4bb0-951a-efff367523e7,Katelyn Martin,vyoder@example.org,510905464,Developer,2022-01-29
936c63e1-e491-4c7d-bccb-257c60397a66,Jonathan Mays,lhudson@example.net,4730992572,Manager,2021-05-28
9431fdb1-9954-41c1-801a-ba80818c6d6f,Andrew Nelson,lhiggins@example.net,254611318,Manager,2022-09-04
a3086e87-be7a-406f-9287-807ce1622662,Laurie Cohen,smithamber@example.com,4375281193,Sales,2022-11-22
3628ab4c-e9bc-4020-8e48-1fc0173e6024,George Ortiz,xmorgan@example.net,7326430416,HR,2020-07-04
cbb1bbe3-07c8-4d64-91cc-eb6997629da0,Nicole Stafford,keithwhite@example.net,7945583220,Sales,2023-07-17
6ddc4731-715a-4bae-9269-38f6c3a451d7,Nicholas English,gregoryethan@example.org,1099523913,HR,2024-07-13
63fdcb19-3d93-4a6e-8f08-17acf4eda616,Megan Lynch,romansamuel@example.com,1066710096,Sales,2022-10-02
7b281e83-d6fc-4190-8317-9bb3c9518a73,Rodney Mayo,jwilliams@example.com,8203779568,Developer,2020-04-30
d39621a2-c961-4c22-863a-9e01a90faba5,Nina Hall,fwalls@example.org,3299193610,Developer,2022-07-05
51499547-a5b9-4fcf-b411-b1633d3409ad,Gina Boyd,ubernard@example.com,7009325066,Manager,2020-10-27
7bd3d537-0eb7-418a-b276-ecf359bc95bf,Denise Robinson,greenbenjamin@example.com,5345039394,Developer,2020-12-28
7ca99815-8474-4771-a6ba-1fa3e3e10411,Jessica Stanton,ksanders@example.com,1833033042,Manager,2020-02-01
838335fd-9d8e-4355-ab83-1d8f2d4645d8,Andrew Wood,ana91@example.com,6727878307,HR,2023-03-16
3a0a2cec-1f7b-481c-af50-c1667ab08ccb,Isaiah Jones,angela31@example.org,8258218996,HR,2022-10-21
5e0d78a7-5d1e-4403-a473-6b600a9392b6,Scott Mccullough,ryan21@example.com,3603957674,HR,2021-01-23
78be0324-1661-4159-8e7c-927cec0bddd0,Richard Day,michaelmatthews@example.net,2155531023,HR,2023-08-18
91a6348f-50e0-4079-8e24-c44153f2b087,Brandy Atkins,michael95@example.net,1723622491,HR,2020-04-26
b084a374-1a4a-485a-b9af-db46861170d9,Cameron Norton,shannon42@example.com,9973585299,HR,2024-04-02
100b4627-b662-42aa-8456-4c0143ef7d96,Kevin Navarro,deborah06@example.net,9587951976,HR,2023-07-18
ecef6d1c-c5d8-47aa-b25d-cfd9c9de763d,Albert Miles,cjenkins@example.com,2999943554,Sales,2023-01-18
